open_time,open,high,low,close,volume
2025-01-01 06:00:00,0.31774000,0.31805000,0.31744000,0.31757000,706519.00000000
2025-01-01 06:05:00,0.31756000,0.31756000,0.31706000,0.31709000,518187.00000000
2025-01-01 06:10:00,0.31710000,0.31733000,0.31689000,0.31700000,2124485.00000000
2025-01-01 06:15:00,0.31701000,0.31750000,0.31701000,0.31728000,771624.00000000
2025-01-01 06:20:00,0.31729000,0.31772000,0.31718000,0.31746000,672372.00000000
2025-01-01 06:25:00,0.31747000,0.31800000,0.31739000,0.31786000,1685015.00000000
2025-01-01 06:30:00,0.31786000,0.31786000,0.31716000,0.31723000,644587.00000000
2025-01-01 06:35:00,0.31723000,0.31737000,0.31665000,0.31735000,1690790.00000000
2025-01-01 06:40:00,0.31735000,0.31767000,0.31735000,0.31767000,484227.00000000
2025-01-01 06:45:00,0.31767000,0.31800000,0.31749000,0.31749000,564558.00000000
2025-01-01 06:50:00,0.31750000,0.31800000,0.31735000,0.31797000,811255.00000000
2025-01-01 06:55:00,0.31798000,0.31861000,0.31798000,0.31837000,4025952.00000000
2025-01-01 07:00:00,0.31836000,0.31843000,0.31790000,0.31797000,729752.00000000
2025-01-01 07:05:00,0.31798000,0.31806000,0.31765000,0.31786000,385228.00000000
2025-01-01 07:10:00,0.31785000,0.31799000,0.31710000,0.31740000,3199059.00000000
2025-01-01 07:15:00,0.31740000,0.31817000,0.31740000,0.31812000,1056004.00000000
2025-01-01 07:20:00,0.31812000,0.31821000,0.31710000,0.31736000,8693715.00000000
2025-01-01 07:25:00,0.31736000,0.31741000,0.31719000,0.31737000,291172.00000000
2025-01-01 07:30:00,0.31736000,0.31773000,0.31714000,0.31715000,915855.00000000
2025-01-01 07:35:00,0.31715000,0.31756000,0.31702000,0.31733000,745784.00000000
2025-01-01 07:40:00,0.31733000,0.31734000,0.31619000,0.31670000,6719056.00000000
2025-01-01 07:45:00,0.31671000,0.31695000,0.31651000,0.31656000,1083838.00000000
2025-01-01 07:50:00,0.31656000,0.31722000,0.31652000,0.31722000,1507735.00000000
2025-01-01 07:55:00,0.31721000,0.31721000,0.31662000,0.31682000,2384084.00000000
2025-01-01 08:00:00,0.31681000,0.31713000,0.31674000,0.31704000,721201.00000000
2025-01-01 08:05:00,0.31704000,0.31726000,0.31656000,0.31656000,869449.00000000
2025-01-01 08:10:00,0.31656000,0.31673000,0.31640000,0.31656000,1735077.00000000
2025-01-01 08:15:00,0.31655000,0.31655000,0.31598000,0.31610000,2101332.00000000
2025-01-01 08:20:00,0.31611000,0.31637000,0.31607000,0.31619000,1354307.00000000
2025-01-01 08:25:00,0.31618000,0.31628000,0.31458000,0.31528000,10514550.00000000
2025-01-01 08:30:00,0.31528000,0.31573000,0.31499000,0.31531000,1188014.00000000
2025-01-01 08:35:00,0.31530000,0.31569000,0.31523000,0.31546000,775082.00000000
2025-01-01 08:40:00,0.31545000,0.31572000,0.31535000,0.31545000,979795.00000000
2025-01-01 08:45:00,0.31546000,0.31546000,0.31421000,0.31438000,2655897.00000000
2025-01-01 08:50:00,0.31439000,0.31508000,0.31432000,0.31437000,1890012.00000000
2025-01-01 08:55:00,0.31436000,0.31436000,0.31380000,0.31401000,2010650.00000000
2025-01-01 09:00:00,0.31402000,0.31481000,0.31402000,0.31473000,1314648.00000000
2025-01-01 09:05:00,0.31472000,0.31472000,0.31352000,0.31378000,3171137.00000000
