dataset,family,candidate,reference,metric,block_days,n_origins,active_days,delta_reference_minus_candidate,ci_low,ci_high,p_two_sided,valid_resamples,route_frozen_on_validation,p_holm
news,semantic_vs_arm90,NSRC,ARM90,mae,14,61,45,-6.596550980317864e-05,-0.00017773926644683622,3.267926941031556e-05,0.227,49999,True,
news,semantic_vs_arm90,NSRC,ARM90,mape,14,61,45,-0.0058686524025931535,-0.01677478492449769,0.00381921389109195,0.27122,49999,True,
macro_crypto,route_vs_dlinear,NSRC_Route,DLinear,mse,3,164,26,7.059245744074578e-05,-2.9381433716613993e-05,0.00015637344179380221,0.13582,49999,True,
macro_crypto,route_vs_dlinear,NSRC_Route,DLinear,mae,3,164,26,0.0011979245749834746,-0.00015038120276187974,0.002562666804591107,0.08472,49999,True,
macro_crypto,route_vs_dlinear,NSRC_Route,DLinear,mape,3,164,26,0.12297880335210959,-0.014403768786276853,0.26054633041874786,0.08114,49999,True,
macro_crypto,route_vs_dlinear,NSRC_Route,DLinear,mse,7,164,26,7.059245744074578e-05,-3.301678334505275e-05,0.0001588676655521872,0.15644,49999,True,0.36084
macro_crypto,route_vs_dlinear,NSRC_Route,DLinear,mae,7,164,26,0.0011979245749834746,-0.0002945592493731585,0.002736496409726521,0.1254,49999,True,0.36084
macro_crypto,route_vs_dlinear,NSRC_Route,DLinear,mape,7,164,26,0.12297880335210959,-0.02868956886855696,0.27776585959299227,0.12028,49999,True,0.36084
macro_crypto,route_vs_dlinear,NSRC_Route,DLinear,mse,14,164,26,7.059245744074578e-05,-3.74248451005024e-05,0.00016256011206303842,0.18364,49999,True,
macro_crypto,route_vs_dlinear,NSRC_Route,DLinear,mae,14,164,26,0.0011979245749834746,-0.00048395332713944923,0.0029966322347774223,0.18186,49999,True,
macro_crypto,route_vs_dlinear,NSRC_Route,DLinear,mape,14,164,26,0.12297880335210959,-0.047509304027500504,0.30392153490069207,0.1751,49999,True,
macro_crypto,semantic_vs_arm90,NSRC,ARM90,mse,3,164,26,-1.357795047465383e-05,-2.2528768058899706e-05,-3.747484429811212e-06,0.00462,49999,True,
macro_crypto,semantic_vs_arm90,NSRC,ARM90,mae,3,164,26,-0.00023812691599618837,-0.0004198990732608751,-3.72961281148586e-05,0.01502,49999,True,
macro_crypto,semantic_vs_arm90,NSRC,ARM90,mape,3,164,26,-0.024001538460262914,-0.04233450800060806,-0.003994570116875258,0.0146,49999,True,
macro_crypto,semantic_vs_arm90,NSRC,ARM90,mse,7,164,26,-1.357795047465383e-05,-2.2052971857634907e-05,-3.864926706753801e-06,0.00372,49999,True,0.037200000000000004
macro_crypto,semantic_vs_arm90,NSRC,ARM90,mae,7,164,26,-0.00023812691599618837,-0.0004333846075122265,-2.4748375622923273e-05,0.02352,49999,True,0.15792
macro_crypto,semantic_vs_arm90,NSRC,ARM90,mape,7,164,26,-0.024001538460262914,-0.04358140256913349,-0.002810926812653756,0.02256,49999,True,0.15792
macro_crypto,semantic_vs_arm90,NSRC,ARM90,mse,14,164,26,-1.357795047465383e-05,-2.0541868149390496e-05,-6.926585907676586e-06,2e-05,49999,True,
macro_crypto,semantic_vs_arm90,NSRC,ARM90,mae,14,164,26,-0.00023812691599618837,-0.00042918683778565825,-4.12255290235013e-05,0.0144,49999,True,
macro_crypto,semantic_vs_arm90,NSRC,ARM90,mape,14,164,26,-0.024001538460262914,-0.04319824966378842,-0.004653190731478954,0.01322,49999,True,
macro_equities,route_vs_dlinear,NSRC_Route,DLinear,mse,3,117,25,7.222117348688536e-05,2.9106015069647413e-05,0.00011660580853330977,0.00152,49999,True,
macro_equities,route_vs_dlinear,NSRC_Route,DLinear,mae,3,117,25,0.0031091324128882706,0.0014039350074356196,0.0049779281477674055,0.00098,49999,True,
macro_equities,route_vs_dlinear,NSRC_Route,DLinear,mape,3,117,25,0.30879695391609635,0.13743619492867573,0.49589328251383724,0.00106,49999,True,
macro_equities,route_vs_dlinear,NSRC_Route,DLinear,mse,7,117,25,7.222117348688536e-05,2.8783232282658733e-05,0.00011798083030206132,0.00128,49999,True,0.008960000000000001
macro_equities,route_vs_dlinear,NSRC_Route,DLinear,mae,7,117,25,0.0031091324128882706,0.001286594050111839,0.005101811392725536,0.00152,49999,True,0.00912
macro_equities,route_vs_dlinear,NSRC_Route,DLinear,mape,7,117,25,0.30879695391609635,0.12612453203153337,0.5081983816671763,0.0016,49999,True,0.00912
macro_equities,route_vs_dlinear,NSRC_Route,DLinear,mse,14,117,25,7.222117348688536e-05,2.3358173118677053e-05,0.00011855004870854994,0.00264,49999,True,
macro_equities,route_vs_dlinear,NSRC_Route,DLinear,mae,14,117,25,0.0031091324128882706,0.0011284692261021012,0.0050458118131061595,0.00136,49999,True,
macro_equities,route_vs_dlinear,NSRC_Route,DLinear,mape,14,117,25,0.30879695391609635,0.10983407585583567,0.5023943464432474,0.00152,49999,True,
macro_equities,semantic_vs_arm90,NSRC,ARM90,mse,3,117,25,1.3914217258885865e-05,8.91291807414922e-08,2.9981606634052815e-05,0.06678,49999,True,
macro_equities,semantic_vs_arm90,NSRC,ARM90,mae,3,117,25,0.0005375641434195895,0.00011156883002392428,0.0010243957645573337,0.02166,49999,True,
macro_equities,semantic_vs_arm90,NSRC,ARM90,mape,3,117,25,0.05371417269694871,0.011236119177460764,0.10189177190606212,0.02102,49999,True,
macro_equities,semantic_vs_arm90,NSRC,ARM90,mse,7,117,25,1.3914217258885865e-05,1.0745194428835859e-06,2.9467236853606265e-05,0.05496,49999,True,0.2354
macro_equities,semantic_vs_arm90,NSRC,ARM90,mae,7,117,25,0.0005375641434195895,0.0001491343219406696,0.0010035793328023765,0.0155,49999,True,0.135
macro_equities,semantic_vs_arm90,NSRC,ARM90,mape,7,117,25,0.05371417269694871,0.0149913501761415,0.09986219372592645,0.015,49999,True,0.135
macro_equities,semantic_vs_arm90,NSRC,ARM90,mse,14,117,25,1.3914217258885865e-05,4.985388487020628e-06,2.392307818533878e-05,0.00472,49999,True,
macro_equities,semantic_vs_arm90,NSRC,ARM90,mae,14,117,25,0.0005375641434195895,0.00025976545735524056,0.0008232664356449262,0.00018,49999,True,
macro_equities,semantic_vs_arm90,NSRC,ARM90,mape,14,117,25,0.05371417269694871,0.02623960605911817,0.08218483675684223,0.00018,49999,True,
