dataset,asset,candidate,reference,metric,n,delta,ci_low,ci_high,p_two_sided,block_days,resamples,interpretation
celebrity,BTC,Time-MoE,GPT4TS,mape,163,-0.27660966367210804,-2.567826044405351,-0.41875978843758516,0.9636,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,DOGE,Time-MoE,GPT4TS,mse,98,-0.000963492541251286,-0.005747773010851181,-0.0007266938114250609,0.8324,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,DOGE,Time-MoE,GPT4TS,mae,98,-0.006669131899569309,-0.035513085075493514,-0.010150638188438855,0.9164,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,DOGE,Time-MoE,GPT4TS,mape,98,-0.6492908178084916,-3.50306793041983,-0.9915667269544397,0.9106,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,ETH,Time-MoE,GPT4TS,mse,15,-0.001000831780068327,-0.0035426881710157398,0.0010391984717208478,0.478,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,ETH,Time-MoE,GPT4TS,mae,15,0.0009320216046439266,-0.008198602745930357,0.010528656757540174,0.8408,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,ETH,Time-MoE,GPT4TS,mape,15,0.1652662646534902,-0.689380596126941,1.1025462577606666,0.73,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,SOL,Time-MoE,GPT4TS,mse,12,-9.802068270807018e-05,-0.00022720062535438085,-8.04901314498765e-06,0.1036,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,SOL,Time-MoE,GPT4TS,mae,12,-0.002622745103306241,-0.005721271286408107,-0.0005733169615268713,0.075,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,SOL,Time-MoE,GPT4TS,mape,12,-0.26575944601053997,-0.5775812691765178,-0.06024140124877821,0.075,7,4999,positive favors Time-MoE; descriptive comparison
